Feature,LightGBM
region_group,106
creation_day,329
creation_month,199
creation_year,178
duration,513
disrict_60,81
disrict_62,50
disrict_63,75
disrict_69,214
client_catg_11,14
client_catg_12,20
client_catg_51,45
region_101,217
region_103,110
region_104,68
region_105,42
region_106,1
region_107,84
region_199,0
region_206,0
region_301,168
region_302,15
region_303,11
region_304,19
region_305,10
region_306,9
region_307,4
region_308,29
region_309,4
region_310,19
region_311,75
region_312,35
region_313,17
region_371,30
region_372,7
region_379,26
region_399,0
consommation_level_1_mean_ELEC,528
consommation_level_1_min_ELEC,370
consommation_level_1_max_ELEC,210
consommation_level_1_std_ELEC,372
consommation_level_1_sum_ELEC,391
consommation_level_1_range_ELEC,251
consommation_level_1_max_mean_diff_ELEC,355
consommation_level_1_mean_GAZ,85
consommation_level_1_min_GAZ,130
consommation_level_1_max_GAZ,50
consommation_level_1_std_GAZ,44
consommation_level_1_sum_GAZ,72
consommation_level_1_range_GAZ,44
consommation_level_1_max_mean_diff_GAZ,66
consommation_level_2_mean_ELEC,204
consommation_level_2_min_ELEC,8
consommation_level_2_max_ELEC,87
consommation_level_2_std_ELEC,172
consommation_level_2_sum_ELEC,146
consommation_level_2_range_ELEC,59
consommation_level_2_max_mean_diff_ELEC,141
consommation_level_2_mean_GAZ,0
consommation_level_2_min_GAZ,0
consommation_level_2_max_GAZ,0
consommation_level_2_std_GAZ,0
consommation_level_2_sum_GAZ,0
consommation_level_2_range_GAZ,0
consommation_level_2_max_mean_diff_GAZ,0
consommation_level_3_mean_ELEC,106
consommation_level_3_min_ELEC,18
consommation_level_3_max_ELEC,48
consommation_level_3_std_ELEC,85
consommation_level_3_sum_ELEC,127
consommation_level_3_range_ELEC,17
consommation_level_3_max_mean_diff_ELEC,120
consommation_level_3_mean_GAZ,0
consommation_level_3_min_GAZ,0
consommation_level_3_max_GAZ,0
consommation_level_3_std_GAZ,0
consommation_level_3_sum_GAZ,0
consommation_level_3_range_GAZ,0
consommation_level_3_max_mean_diff_GAZ,0
consommation_level_4_mean_ELEC,81
consommation_level_4_min_ELEC,5
consommation_level_4_max_ELEC,51
consommation_level_4_std_ELEC,63
consommation_level_4_sum_ELEC,49
consommation_level_4_range_ELEC,34
consommation_level_4_max_mean_diff_ELEC,63
consommation_level_4_mean_GAZ,0
consommation_level_4_min_GAZ,0
consommation_level_4_max_GAZ,0
consommation_level_4_std_GAZ,0
consommation_level_4_sum_GAZ,0
consommation_level_4_range_GAZ,0
consommation_level_4_max_mean_diff_GAZ,0
old_index_mean_ELEC,409
old_index_min_ELEC,383
old_index_max_ELEC,262
old_index_std_ELEC,202
old_index_sum_ELEC,356
old_index_range_ELEC,177
old_index_max_mean_diff_ELEC,271
old_index_mean_GAZ,84
old_index_min_GAZ,122
old_index_max_GAZ,93
old_index_std_GAZ,56
old_index_sum_GAZ,122
old_index_range_GAZ,43
old_index_max_mean_diff_GAZ,79
new_index_mean_ELEC,333
new_index_min_ELEC,522
new_index_max_ELEC,189
new_index_std_ELEC,174
new_index_sum_ELEC,268
new_index_range_ELEC,165
new_index_max_mean_diff_ELEC,306
new_index_mean_GAZ,83
new_index_min_GAZ,123
new_index_max_GAZ,92
new_index_std_GAZ,47
new_index_sum_GAZ,103
new_index_range_GAZ,41
new_index_max_mean_diff_GAZ,64
number_plus_code_mean_ELEC,133
number_plus_code_min_ELEC,256
number_plus_code_max_ELEC,168
number_plus_code_std_ELEC,109
number_plus_code_sum_ELEC,215
number_plus_code_range_ELEC,114
number_plus_code_max_mean_diff_ELEC,230
number_plus_code_mean_GAZ,41
number_plus_code_min_GAZ,57
number_plus_code_max_GAZ,29
